IMEI или S/N	Наименование товара
*351612061780562	Б/У Samsung Galaxy S4 16Gb Красный
*352005062111722	EST Apple iPhone 5S 16Gb Без Отп Silver
*352000068093446	ADT Apple iPhone 5S 16Gb Space Gray
*358536056260582	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*353272074357599	EST Apple iPhone 6S 64Gb Silver
*358804050308173	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*358537053492996	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*358559050490666	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*357991059763408	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*358823053378082	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*354594061222844	EST Samsung Galaxy Note 4 32Gb Black
*359652062533372	EST Samsung Galaxy S6 32Gb Black
*359652062195891	EST Samsung Galaxy S6 32Gb Black
*357107073981930	EST Samsung Galaxy J5 16Gb Gold
*351873055139559	EST Samsung Galaxy S3 16Gb Black
*353317074741928	EST Apple iPhone 6S 64Gb Space Gray
*353313070442124	EST Apple iPhone 6S 64Gb Space Gray
*013184009337749	EST Apple iPhone 4S 16Gb White
*013041004286018	EST Apple iPhone 4S 16Gb White
*013006004670271	EST Apple iPhone 4S 16Gb Black
*013186008753263	EST Apple iPhone 4S 16Gb Black
*013044007809935	EST Apple iPhone 4S 16Gb Black
*013032001411956	EST Apple iPhone 4S 16Gb Black
*013141007437400	EST Apple iPhone 4S 16Gb Black
*013143003774463	EST Apple iPhone 4S 16Gb Black
*013025005831336	EST Apple iPhone 4S 16Gb Black
*013536000791747	EST Apple iPhone 4S 16Gb White
*357993054199653	EST Apple iPhone 5S 32Gb Silver
*358757054963833	EST Apple iPhone 5S 32Gb Silver
*358753055653689	EST Apple iPhone 5S 16Gb Silver
*358811055498370	EST Apple iPhone 5S 16Gb Silver
*352006060403186	EST Apple iPhone 5S 16Gb Silver
*352007064586182	EST Apple iPhone 5S 16Gb Silver
*358810053260857	EST Apple iPhone 5S 16Gb Silver
*357988050621700	EST Apple iPhone 5S 16Gb Silver
*358759050794659	EST Apple iPhone 5S 16Gb Silver
*357988057294055	EST Apple iPhone 5S 16Gb Silver
*358534057867786	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*358537054192785	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*357990053761533	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*357990058098311	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*358535057110713	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*358824053777893	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*358824056708978	ADTnoTouchID Apple iPhone 5S 16Gb Space Gray
*358982072068239;358983072068237	Б/У Samsung Galaxy S7 Edge 32Gb Black
*358760058394625	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*358805053042610	EST Apple iPhone 5S 16Gb Gold
*352073069726868	ADT Apple iPhone 6 64Gb Space Gray
*354450064200388	EST Apple iPhone 6 16Gb Без Отп Space Gray
*358754057869208	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*352075063082347	Б/У Apple iPhone 6 64Gb Gold
*359263062781985	Б/У Apple iPhone 6 16Gb Без Отп Gold
*354447069933906	EST Apple iPhone 6 16Gb Без Отп Gold
*359304066259790	EST Apple iPhone 6 16Gb Без Отп Gold
*354403062409584	EST Apple iPhone 6 16Gb Без Отп Gold
*356987066114024	EST Apple iPhone 6 16Gb Без Отп Gold
*356989063119550	EST Apple iPhone 6 16Gb Без Отп Space Gray
*013205003940517	EST Apple iPhone 4S 16Gb Black
*013195009992978	EST Apple iPhone 4S 16Gb Black
*354407060651352	EST Apple iPhone 6 64Gb Silver
*355405074558455	EST Apple iPhone 6 16Gb Gold
*354406064896070	EST Apple iPhone 6 16Gb Silver
*353269077249625	EST Apple iPhone 6S 64Gb Space Gray
*355431071189623	EST Apple iPhone 6S 16Gb Space Gray
*353255075495047	Б/У Apple iPhone 6S 16Gb Space Gray
*355424073105762	EST Apple iPhone 6S 64Gb Space Gray
*358751055664805	EST Apple iPhone 5S 16Gb Silver
*357988057962719	EST Apple iPhone 5S 16Gb Silver
*358813056957586	EST Apple iPhone 5S 16Gb Silver
*357988056326486	EST Apple iPhone 5S 16Gb Silver
*352007063093172	EST Apple iPhone 5S 16Gb Silver
*354446066889509	EST Apple iPhone 6 64Gb Без Отп Silver
*354446062460560	EST Apple iPhone 6 64Gb Без Отп Gold
*354444065967137	ADTnoTouchID Apple iPhone 6 16Gb Gold
*000000000000001	Clone Samsung Galaxy S7
*013275009587943	Б/У Apple iPhone 4 8Gb Black
*354437068755327	EST Apple iPhone 6 Plus 16Gb Space Gray
*358372063537287	EST Apple iPhone 6 64Gb Без Отп Space Gray
*358373067528132	EST Apple iPhone 6 64Gb Без Отп Space Gray
*357996055103905	EST Apple iPhone 5C 32Gb White
*352026060290151	EST Apple iPhone 5S 16Gb Без Отп Silver
*990002690813330	EST Apple iPhone 4S 16Gb Black
*354445067912203	EST Apple iPhone 6 16Gb Без Отп Gold
*358537057855016	EST Apple iPhone 5S 32Gb Без Отп Gold
*355167052921713	EST Samsung Galaxy S4 16Gb Black
*358541053479607	EST Apple iPhone 5C 16Gb White
*355900062664448	EST Apple iPhone 6 64Gb Gold
*358686055911865	ADTnoTouchID Apple iPhone 5S 16Gb Space Gray
*013886005315434	EST Apple iPhone 5S 32Gb Gold
*358373069710282	ADTnoTouchID Apple iPhone 6 64Gb Space Gray
*990001060337078	EST Apple iPhone 4S 16Gb White
*013886007896613	ADTnoTouchID Apple iPhone 5S 32Gb Gold
*013035000028325	EST Apple iPhone 4S 16Gb Black
*352745065816716	EST Samsung Galaxy S4 16Gb White
*358369060526800	Б/У Apple iPhone 6 16Gb Gold
*352745066656939	EST Samsung Galaxy S4 16Gb Black
*358369061639917	EST Apple iPhone 6 64Gb Без Отп Silver
*356990066074537	EST Apple iPhone 6 16Gb Без Отп Gold
*990002817982554	EST Apple iPhone 5 16Gb Black
*358541051151331	EST Apple iPhone 5C 32Gb Зеленый
*356989065472569	EST Apple iPhone 6 64Gb Без Отп Space Gray
*013060002600400	EST Apple iPhone 4S 16Gb White
*359239060544971	ADTnoTouchID Apple iPhone 6 64Gb Space Gray
*357800059121766	EST Samsung Galaxy S4 16Gb Black
*354446065558667	EST Apple iPhone 6 16Gb Space Gray
*359304063089067	EST Apple iPhone 6 64Gb Без Отп Space Gray
*356987064405317	EST Apple iPhone 6 16Gb Без Отп Space Gray
*013789006814894	EST Apple iPhone 5S 32Gb Без Отп Gold
*357994058488753	EST Apple iPhone 5S 16Gb Без Отп Gold
*013969001752998	EST Apple iPhone 5S 16Gb Gold
*013888004800705	EST Apple iPhone 5S 16Gb Gold
*013850005483709	EST Apple iPhone 5S 32Gb Без Отп Gold
*358815051928769	EST Apple iPhone 5C 16Gb White
*013984004604443	EST Apple iPhone 5S 32Gb Без Отп Space Gray
*352006060276434	EST Apple iPhone 5S 32Gb Space Gray
*356986063211593	ADTnoTouchID Apple iPhone 6 16Gb Gold
*013965002816121	EST Apple iPhone 5S 32Gb Gold
*358779052015358	EST Apple iPhone 5S 32Gb Gold
*359233069472011	EST Apple iPhone 6 16Gb Без Отп Silver
*357996057897298	EST Apple iPhone 5C 32Gb White
*358760057416734	ADT Apple iPhone 5S 16Gb Gold
*358756051379670	EST Apple iPhone 5S 16Gb Без Отп Space Gray
*013887003160350	EST Apple iPhone 5S 16Gb Space Gray
*357730060231496	Б/У Samsung Galaxy S6 Edge 32Gb Black
*013788000451398	EST Apple iPhone 5C 16Gb White
*351824070734924;351825070734921	EST Samsung Galaxy A5 16Gb White
*013847001178549	Б/У Apple iPhone 5S 16Gb Space Gray
*357095064181216;357096064181214	Б/У Samsung Galaxy A5 16Gb Black
*354451061126477	EST Apple iPhone 6 Plus 16Gb Space Gray
*357460064929420	Б/У Samsung Galaxy S6 Edge 64Gb Black
*353121071222597	RST Samsung Galaxy S6 Edge+ 32Gb Gold
*013847002833704	EST Apple iPhone 5S 32Gb Без Отп Gold
*358812059353009	EST Apple iPhone 5S 16Gb Без Отп Silver
*358760051897384	EST Apple iPhone 5S 16Gb Без Отп Silver
*013965004878780	EST Apple iPhone 5S 16Gb Gold
*354925070158621	Б/У Samsung Galaxy S6 Edge 32Gb Black
*356990063132270	EST Apple iPhone 6 16Gb Без Отп Gold
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
